PK6aSizckHFWk8i0oxt5DA,2.0
6ilJq_05xRgek_8qUp36-g,2.0
CL3tZqbYT7B5zgewKCS6-Q,1.0
bZcqORBnVApUA2-SEn7VEQ,2.0
BbIh5NTizhV4Fq_mLmNkpg,1.5
4LcFKTr6Ah87VcxW2z5e6w,1.5
l2gPB9mqiHSbpwSUa7zrjg,2.0
GSiHJG8LqTn5ZQAY1r9q9w,1.5
vWnwaD-kykqiEc2Q0hbYsw,1.5
xUf11yTcoRagwNiJcY8GAA,1.0
EZrCQtZxiEo1kkAYt2EQqw,2.0
qJTHaHFKQIKXKX3I17Nw9w,2.0
5vLVIomtminS_q8itJquEQ,1.5
e2K0YQel5Fth0_vur2dN8w,2.0
JgGpBGMAb1Nc2Z5jVIwZMA,2.0
X-uPUUV7xPiKivsQzJD-wg,1.5
z2uFdzUyJniU4yysFJvSrQ,2.0
q52H04woL1Oy1CVrUQu3bg,1.5
P4r-LsB1ldgvlgli40Yu-Q,2.0
NcRGwvp9SX14gAmJhCYIpQ,2.0
6Re0uCzZeFxVUo8R9eqqXw,1.0
3IDt1SaDYwo6QKKV7gsuyQ,1.5
2mmxmtwEli9CycpLcVpZgw,2.0
mh1le9QGMrZLohAjfheJJg,2.0
SXvbOMPd7jNgTkY6pqMWGw,1.0
jr8D3lu1S0-eRpIVxkKnMA,1.5
TEI2iTi3qL3r0yz2Ha5iLQ,1.5
wtsZRbvnrDwQK2w_HAP0rQ,2.0
98hOHm56D0Boz2LCg0-irg,2.0
UvuUOiP0oIgJ2H_8J6h6Zg,2.0
xH9zGlw85wE3q5YJ5D230Q,2.0
NKDeqe-I2dD1MAtumoIyYQ,1.5
pgJ-fy_EAKl5vI-uxV7ORQ,2.0
oP9AEoTeun7L-dPeSxJw_A,1.5
Zc2IwSzGY63zkyhfNrr7HA,2.0
cruBFtsFaBuhX_I72uU8pA,2.0
IEmqrFe96NOhU07TA0rZdw,2.0
3zD6rxB92Mr0jb-LoYFFWw,1.5
04h3nxtkDfaKsJhrKRHZ-Q,2.0
unMqU0OrlniCOKZIoQHb0A,1.0
XWDk-pLSbVE2Vvv9Z-zusQ,1.5
pSiRWeCqs7a1xvS9ycLoTQ,2.0
q83uB6EGF6y2MuR-7VZPRg,2.0
QB64-PgfEUzbrOL50bJ0Bw,2.0
1YEuqVtVMHdpavzoGcUUug,2.0
pHBQ-dQRwN3z7Rq7iSog-A,1.5
8AGIIxZ-BBHbEGsgmhOOwA,1.0
kOXJrbuB1a1Na6sf_WQnDg,2.0
cCStad4wX3ADPbz5AHCn9g,1.0
Xia0Lo492MDWbCd48scnYA,1.5
L3S29vAyPOxmDZ04AilwnQ,1.0
79hY0d7j45ZRjTAB2d0jQQ,1.5
dXLRevtIEnAvjUhPM_zTEg,2.0
xKoqmvyHBovS7RmKQn3_jg,2.0
5XIvwfbIa-vuFEkkeCQ6kQ,2.0
s6zzKc7UvwDRxn-BFlhiTg,2.0
xH5axHFadmc7Veutt376TA,1.5
x8WoC_7WHzXNmt6J13Nbvw,2.0
avPNEqlXgyBvTXjb-ujQFA,2.0
g4Eit1EeeEGhTVik6AWYsA,1.5
OkXpdUozVS3vjSRtCoSIvw,2.0
RoErsFPM0A-1SCqD-FRV_Q,1.0
JxgoluY8hnC34cys_f80xA,2.0
YSQnaRE4Le6CaonZICFyVQ,2.0
u0zjW7rluJgUeQTnaZnkJQ,2.0
lgWe8lSmcBk4Pq0kVI9-0A,2.0
2gMx4KnXbNtpoCuVCmyo3g,2.0
QplY4p8HHJY0ncbgcpb8WQ,2.0
Y9V4EebKsaBmvKPlxXVheA,1.5
vA9aCw2kTgN8p2SLdm2mDA,2.0
fhmKIPGVx9_O4P9zEgCHjQ,1.5
DEEAiq6dqVU8bvtC7VXztA,2.0
FucrEEO2laIlAnIZ_n6cTA,2.0
q5Vz6JNAGDqAT_P1lB1jVg,2.0
Snu39WyiChz0NwFWRMyUvQ,1.5
nqpUjsD-nUIQCrr15B9W-g,2.0
hgy8A1Wnqyi4M-HJIFLpyQ,2.0
5MlUPatQxg4GZhkPwGIvrQ,2.0
hx9dmPZZHvLQgEhlAZ-Seg,2.0
qdI9KaRhOzaJRK0dvGUSaw,2.0
dvjYiddhJ2HrosdSBAqngg,1.5
VDUwU8bHmeGgtJpe-rz3bQ,1.5
UtmsxhLHB4lYSN_NxKW3XA,1.5
1-t2rcSaH4JGi1jejiHfCA,2.0
x-YyGmE9tIXAUdg_4Py5KA,1.0
0Apb1P7RzbQEkeJDuywlPQ,2.0
hBodj_f6adUAnEVUb_he_A,1.5
dD2xiLM1_5Vg0pMvMIPZww,2.0
pk0vem-ismpPnVeTIG0Q5g,1.5
AX56yxldIb7TPBHMaPqOmg,2.0
kvrgvuxO6A6i9fXYaUKqcg,1.0
GoEHXcq_nY4jZOx3Ay5gxw,2.0
8NbZswmpIyWWHhpWqThQQQ,1.5
FPjBx-Hez_NCnepsZhtZ_Q,2.0
6Ry-gjGqApTSRZkfdYlLmw,2.0
